epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.6063718496990935,41.32,1.3708725911152513,50.39,51.66560363769531
2,1.2841294945963204,53.676,1.2291768276238744,55.24,51.225728034973145
3,1.1305934646550346,59.676,1.092936496191387,61.11,52.49818778038025
4,1.0362063449666934,63.208,1.0141145171998422,64.26,51.490551471710205
5,0.9641548940897597,65.812,0.9505263793317578,66.19,51.4704864025116
6,0.9116018173639732,67.574,0.9037607334837129,68.5,52.66432857513428
7,0.8720147804835873,69.226,0.8669372525396226,69.71,53.95025992393494
8,0.8319401379741366,70.516,0.8729017671150497,69.5,55.28186559677124
9,0.8018406184433061,72.094,0.8175738302967216,71.12,55.61405396461487
10,0.7757641938336365,72.59,0.8053493356402917,71.58,54.728994369506836
11,0.7526955569491667,73.57,0.8150075757050816,71.4,53.5761456489563
12,0.734362990273844,74.098,0.7841385919836503,72.97,53.28502130508423
13,0.7103900160935833,74.88,0.7745456801185125,73.1,53.01194643974304
14,0.6969789239146825,75.788,0.755189896384372,73.29,53.103113412857056
15,0.6818295974865594,76.07,0.7652813120733334,73.39,52.782108545303345
16,0.6650495185419116,76.554,0.7501728957212423,74.65,53.413551568984985
17,0.6526323835105847,77.008,0.7461169362068176,74.04,54.87420868873596
18,0.6402719144321158,77.598,0.7344367330587362,74.93,54.65623593330383
19,0.6309961786355509,77.812,0.716595622557628,75.28,55.30864357948303
20,0.6229122189609596,78.246,0.766241846205313,74.06,53.63384246826172
