epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.6284240075694325,40.042,1.2458261975759193,53.25,72.4077398777008
2,1.3223855632650272,52.346,1.07149190691453,60.9,69.24310302734375
3,1.1965872936541466,57.272,1.0132343580451193,64.85,69.11053323745728
4,1.1237076432503703,60.224,0.9431398925901968,65.64,69.88043856620789
5,1.0721566209097957,62.248,0.8770730699164958,69.26,69.10301756858826
6,1.036610883977407,63.354,0.8156552669368212,71.87,71.55369162559509
7,1.001674551335747,64.854,0.7950822793984715,71.82,72.15733551979065
8,0.9657526805882564,66.126,0.7449905879889862,73.63,71.81894636154175
9,0.9377244392319408,67.29,0.7530114590367184,73.32,71.20161175727844
10,0.914709622750197,68.11,0.7831813745860812,72.16,72.24237060546875
11,0.8923636139811152,68.816,0.6982621248764328,75.32,71.91645860671997
12,0.8673671061730446,69.976,0.6896057404294799,75.64,70.73117399215698
13,0.844481821865072,70.54,0.6802964067157311,75.71,72.95386910438538
14,0.832284883007674,71.016,0.6752164212963249,76.47,73.74780750274658
15,0.814828973901851,71.55,0.6512110448336299,76.89,70.7356059551239
16,0.7959791758786077,72.582,0.6326874222936509,77.88,70.95479440689087
17,0.786201047013178,72.852,0.6548253603373901,77.66,70.89066314697266
18,0.7735783088085292,73.264,0.6466683858557593,77.25,71.24381375312805
19,0.7564307490120763,74.108,0.5922857145719891,79.13,70.94385266304016
20,0.7518038242826681,74.266,0.595003163512749,79.26,71.00127744674683
